Page Id	URL	Name	From Attr	Value
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:People_from_Saint-Germain-en-Laye
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:Musicians_from_Arizona
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:Musicians_from_Los_Angeles,_California
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:People_from_Cuernavaca
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:People_from_Nogales,_Arizona
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Jazz_musicians_from_California
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Musicians_from_Norwalk,_Connecticut
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Musicians_from_the_San_Francisco_Bay_Area
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:People_from_Concord,_California
page-1073	George_Benson	George Benson	dct:subject	dbc:Musicians_from_Phoenix,_Arizona
page-1073	George_Benson	George Benson	dct:subject	dbc:Musicians_from_Pittsburgh,_Pennsylvania
page-1073	George_Benson	George Benson	dct:subject	dbc:Singers_from_Pennsylvania
page-1328	James_Brown	James Brown	dct:subject	dbc:Musicians_from_Augusta,_Georgia
page-1328	James_Brown	James Brown	dct:subject	dbc:Musicians_from_South_Carolina
page-1328	James_Brown	James Brown	dct:subject	dbc:People_from_Barnwell_County,_South_Carolina
page-1328	James_Brown	James Brown	dct:subject	dbc:People_from_Toccoa,_Georgia
page-1328	James_Brown	James Brown	dct:subject	dbc:Songwriters_from_Georgia_(U.S._state)
page-1328	James_Brown	James Brown	dct:subject	dbc:Songwriters_from_South_Carolina
page-1451	John_Lee_Hooker	John Lee Hooker	dct:subject	dbc:Blues_musicians_from_Mississippi
page-1451	John_Lee_Hooker	John Lee Hooker	dct:subject	dbc:Musicians_from_Tennessee
page-1451	John_Lee_Hooker	John Lee Hooker	dct:subject	dbc:People_from_Coahoma_County,_Mississippi
page-1402	Jimi_Hendrix	Jimi Hendrix	dct:subject	dbc:Musicians_from_Seattle,_Washington
page-1402	Jimi_Hendrix	Jimi Hendrix	dct:subject	dbc:People_from_Renton,_Washington
page-1402	Jimi_Hendrix	Jimi Hendrix	dct:subject	dbc:Songwriters_from_Washington_(state)
page-1475	Joni_Mitchell	Joni Mitchell	dct:subject	dbc:Musicians_from_Saskatoon
page-1475	Joni_Mitchell	Joni Mitchell	dct:subject	dbc:People_from_the_Municipal_District_of_Willow_Creek_No._26
page-1500	Karlheinz_Stockhausen	Karlheinz Stockhausen	dct:subject	dbc:People_from_Kerpen
page-1500	Karlheinz_Stockhausen	Karlheinz Stockhausen	dct:subject	dbc:People_from_the_Rhine_Province
page-1590	Lester_Bangs	Lester Bangs	dct:subject	dbc:People_from_El_Cajon,_California
page-1590	Lester_Bangs	Lester Bangs	dct:subject	dbc:People_from_Escondido,_California
page-1590	Lester_Bangs	Lester Bangs	dct:subject	dbc:Writers_from_California
page-2398	Ron_Carter	Ron Carter	dct:subject	dbc:Musicians_from_Detroit,_Michigan
page-2398	Ron_Carter	Ron Carter	dct:subject	dbc:People_from_Oakland_County,_Michigan
page-2331	Red_Hot_Chili_Peppers	Red Hot Chili Peppers	dct:subject	dbc:Alternative_rock_groups_from_California
page-2331	Red_Hot_Chili_Peppers	Red Hot Chili Peppers	dct:subject	dbc:Musical_groups_from_Los_Angeles,_California
page-2864	The_Doors	The Doors	dct:subject	dbc:Musical_groups_from_Los_Angeles,_California
page-2864	The_Doors	The Doors	dct:subject	dbc:Rock_music_groups_from_California
page-2965	The_Rolling_Stones	The Rolling Stones	dct:subject	dbc:Musical_groups_from_London
page-2790	Terry_Riley	Terry Riley	dct:subject	dbc:People_from_Placer_County,_California
page-809	Duke_Ellington	Duke Ellington	dct:subject	dbc:Musicians_from_Washington,_D.C.
page-1456	John_Paul_Jones_(musician)	John Paul Jones (musician)	dct:subject	dbc:Musicians_from_Kent
page-1456	John_Paul_Jones_(musician)	John Paul Jones (musician)	dct:subject	dbc:People_from_Sidcup
page-755	Dizzy_Gillespie	Dizzy Gillespie	dct:subject	dbc:Musicians_from_Pennsylvania
page-755	Dizzy_Gillespie	Dizzy Gillespie	dct:subject	dbc:Musicians_from_South_Carolina
page-755	Dizzy_Gillespie	Dizzy Gillespie	dct:subject	dbc:People_from_Corona,_Queens
page-755	Dizzy_Gillespie	Dizzy Gillespie	dct:subject	dbc:People_from_Cheraw,_South_Carolina
page-755	Dizzy_Gillespie	Dizzy Gillespie	dct:subject	dbc:People_from_Clarksville,_Tennessee
page-540	Charlie_Parker	Charlie Parker	dct:subject	dbc:Musicians_from_New_York_City
page-540	Charlie_Parker	Charlie Parker	dct:subject	dbc:Musicians_from_Kansas_City,_Missouri
page-2275	Prince_(musician)	Prince (musician)	dct:subject	dbc:Film_directors_from_Minnesota
page-2275	Prince_(musician)	Prince (musician)	dct:subject	dbc:Male_actors_from_Minneapolis,_Minnesota
page-2275	Prince_(musician)	Prince (musician)	dct:subject	dbc:Musicians_from_Minneapolis,_Minnesota
page-2275	Prince_(musician)	Prince (musician)	dct:subject	dbc:Songwriters_from_Minnesota
page-3068	Tony_Williams_(drummer)	Tony Williams (drummer)	dct:subject	dbc:Musicians_from_Boston,_Massachusetts
page-3068	Tony_Williams_(drummer)	Tony Williams (drummer)	dct:subject	dbc:Musicians_from_Chicago,_Illinois
page-1105	Glenn_Miller	Glenn Miller	dct:subject	dbc:People_from_Clarinda,_Iowa
page-1105	Glenn_Miller	Glenn Miller	dct:subject	dbc:People_from_Fort_Morgan,_Colorado
page-1105	Glenn_Miller	Glenn Miller	dct:subject	dbc:People_from_North_Platte,_Nebraska
page-1105	Glenn_Miller	Glenn Miller	dct:subject	dbc:Musicians_from_Colorado
page-639	Count_Basie	Count Basie	dct:subject	dbc:Musicians_from_New_Jersey
page-639	Count_Basie	Count Basie	dct:subject	dbc:People_from_Red_Bank,_New_Jersey
page-1315	Jack_Johnson_(boxer)	Jack Johnson (boxer)	dct:subject	dbc:People_from_Galveston,_Texas
page-873	Eric_Dolphy	Eric Dolphy	dct:subject	dbc:Jazz_musicians_from_California
page-873	Eric_Dolphy	Eric Dolphy	dct:subject	dbc:Musicians_from_Los_Angeles,_California
page-1389	Jeff_Noon	Jeff Noon	dct:subject	dbc:People_from_Droylsden
page-3969	Wilco	Wilco	dct:subject	dbc:Musical_groups_from_Chicago,_Illinois
page-3969	Wilco	Wilco	dct:subject	dbc:Alternative_rock_groups_from_Chicago,_Illinois
page-447	Boris_Vian	Boris Vian	dct:subject	dbc:People_from_Ville-d'Avray
page-2606	Sting_(musician)	Sting (musician)	dct:subject	dbc:Musicians_from_Newcastle_upon_Tyne
page-2606	Sting_(musician)	Sting (musician)	dct:subject	dbc:People_from_Cramlington
page-2606	Sting_(musician)	Sting (musician)	dct:subject	dbc:People_from_Wallsend
page-1555	Larry_Graham	Larry Graham	dct:subject	dbc:People_from_Beaumont,_Texas
page-1555	Larry_Graham	Larry Graham	dct:subject	dbc:Singers_from_Texas
page-1555	Larry_Graham	Larry Graham	dct:subject	dbc:Songwriters_from_Texas
page-201	Amon_Tobin	Amon Tobin	dct:subject	dbc:Musicians_from_Rio_de_Janeiro_(city)
page-769	Don_DeLillo	Don DeLillo	dct:subject	dbc:People_from_the_Bronx
page-175	Alex_Haley	Alex Haley	dct:subject	dbc:Writers_from_Tennessee
page-175	Alex_Haley	Alex Haley	dct:subject	dbc:People_from_Lauderdale_County,_Tennessee
page-175	Alex_Haley	Alex Haley	dct:subject	dbc:People_from_Knoxville,_Tennessee
page-175	Alex_Haley	Alex Haley	dct:subject	dbc:People_from_Ithaca,_New_York
page-2822	The_Byrds	The Byrds	dct:subject	dbc:Folk_rock_groups_from_California
page-2822	The_Byrds	The Byrds	dct:subject	dbc:Musical_groups_from_Los_Angeles,_California
page-2822	The_Byrds	The Byrds	dct:subject	dbc:Rock_music_groups_from_California
page-2156	Paul_Whiteman	Paul Whiteman	dct:subject	dbc:Musicians_from_New_Rochelle,_New_York
page-2156	Paul_Whiteman	Paul Whiteman	dct:subject	dbc:People_from_New_Rochelle,_New_York
page-2156	Paul_Whiteman	Paul Whiteman	dct:subject	dbc:People_from_New_York_City
page-2156	Paul_Whiteman	Paul Whiteman	dct:subject	dbc:Musicians_from_Denver,_Colorado
page-2154	Paul_Shaffer	Paul Shaffer	dct:subject	dbc:People_from_Thunder_Bay
page-2154	Paul_Shaffer	Paul Shaffer	dct:subject	dbc:Musicians_from_Ontario
page-2648	Switchfoot	Switchfoot	dct:subject	dbc:Musical_groups_from_San_Diego,_California
page-2648	Switchfoot	Switchfoot	dct:subject	dbc:Christian_rock_groups_from_California
page-2648	Switchfoot	Switchfoot	dct:subject	dbc:Alternative_rock_groups_from_California
page-1304	J._J._Johnson	J. J. Johnson	dct:subject	dbc:Musicians_from_Indianapolis,_Indiana
page-2145	Parliament-Funkadelic	Parliament-Funkadelic	dct:subject	dbc:People_from_Plainfield,_New_Jersey
page-2284	Public_Image_Ltd	Public Image Ltd	dct:subject	dbc:Musical_groups_from_London
page-509	Carlos_Santana	Carlos Santana	dct:subject	dbc:People_from_Tijuana
page-509	Carlos_Santana	Carlos Santana	dct:subject	dbc:People_from_Autlán,_Jalisco
page-2393	Rollins_Band	Rollins Band	dct:subject	dbc:Heavy_metal_musical_groups_from_California
page-1321	Jaco_Pastorius	Jaco Pastorius	dct:subject	dbc:Musicians_from_Philadelphia,_Pennsylvania
page-1321	Jaco_Pastorius	Jaco Pastorius	dct:subject	dbc:Jazz_musicians_from_Florida
page-1321	Jaco_Pastorius	Jaco Pastorius	dct:subject	dbc:Musicians_from_Fort_Lauderdale,_Florida
page-2802	The_Allman_Brothers_Band	The Allman Brothers Band	dct:subject	dbc:Musical_groups_from_Jacksonville,_Florida
page-2802	The_Allman_Brothers_Band	The Allman Brothers Band	dct:subject	dbc:Rock_music_groups_from_Florida
page-310	Beck	Beck	dct:subject	dbc:Singers_from_Los_Angeles,_California
page-310	Beck	Beck	dct:subject	dbc:Songwriters_from_California
page-3027	Tiki_Fulwood	Tiki Fulwood	dct:subject	dbc:Musicians_from_Philadelphia,_Pennsylvania
page-2111	Ornette_Coleman	Ornette Coleman	dct:subject	dbc:People_from_Fort_Worth,_Texas
page-1169	Harry_Belafonte	Harry Belafonte	dct:subject	dbc:People_from_Harlem
page-1838	Max_Roach	Max Roach	dct:subject	dbc:Musicians_from_North_Carolina
page-1838	Max_Roach	Max Roach	dct:subject	dbc:People_from_Pasquotank_County,_North_Carolina
page-473	Bud_Powell	Bud Powell	dct:subject	dbc:Musicians_from_New_York_City
page-539	Charlie_Christian	Charlie Christian	dct:subject	dbc:Musicians_from_Oklahoma
page-539	Charlie_Christian	Charlie Christian	dct:subject	dbc:People_from_Oklahoma_City,_Oklahoma
page-539	Charlie_Christian	Charlie Christian	dct:subject	dbc:People_from_Bonham,_Texas
page-2586	Steely_Dan	Steely Dan	dct:subject	dbc:Musical_groups_from_New_York
page-1601	Linda_Ronstadt	Linda Ronstadt	dct:subject	dbc:Country_musicians_from_California
page-1601	Linda_Ronstadt	Linda Ronstadt	dct:subject	dbc:Singers_from_Los_Angeles,_California
page-1601	Linda_Ronstadt	Linda Ronstadt	dct:subject	dbc:Songwriters_from_California
page-1601	Linda_Ronstadt	Linda Ronstadt	dct:subject	dbc:Writers_from_Los_Angeles,_California
page-1601	Linda_Ronstadt	Linda Ronstadt	dct:subject	dbc:Writers_from_San_Francisco,_California
page-1601	Linda_Ronstadt	Linda Ronstadt	dct:subject	dbc:Actresses_from_Tucson,_Arizona
page-1601	Linda_Ronstadt	Linda Ronstadt	dct:subject	dbc:Country_musicians_from_Arizona
page-1601	Linda_Ronstadt	Linda Ronstadt	dct:subject	dbc:Musicians_from_San_Francisco,_California
page-1601	Linda_Ronstadt	Linda Ronstadt	dct:subject	dbc:Musicians_from_Tucson,_Arizona
page-1601	Linda_Ronstadt	Linda Ronstadt	dct:subject	dbc:Songwriters_from_Arizona
page-1601	Linda_Ronstadt	Linda Ronstadt	dct:subject	dbc:Writers_from_Tucson,_Arizona
page-1578	Lenny_Kravitz	Lenny Kravitz	dct:subject	dbc:Male_actors_from_New_York_City
page-1578	Lenny_Kravitz	Lenny Kravitz	dct:subject	dbc:Musicians_from_Brooklyn
page-1578	Lenny_Kravitz	Lenny Kravitz	dct:subject	dbc:Singers_from_New_York_City
page-2510	Sly_and_the_Family_Stone	Sly and the Family Stone	dct:subject	dbc:Musical_groups_from_San_Francisco,_California
page-2511	Sly_Stone	Sly Stone	dct:subject	dbc:Singers_from_Texas
page-2511	Sly_Stone	Sly Stone	dct:subject	dbc:Songwriters_from_Texas
page-2511	Sly_Stone	Sly Stone	dct:subject	dbc:People_from_Denton,_Texas
page-818	Earth,_Wind_%26_Fire	Earth, Wind & Fire	dct:subject	dbc:Musical_groups_from_Chicago,_Illinois
page-1753	Louis_Jordan	Louis Jordan	dct:subject	dbc:Musicians_from_Arkansas
page-1753	Louis_Jordan	Louis Jordan	dct:subject	dbc:People_from_Brinkley,_Arkansas
page-1024	Frank_Loesser	Frank Loesser	dct:subject	dbc:Songwriters_from_New_York
page-524	Celia_Cruz	Celia Cruz	dct:subject	dbc:People_from_Havana
page-524	Celia_Cruz	Celia Cruz	dct:subject	dbc:People_from_Fort_Lee,_New_Jersey
page-1538	Kool_%26_the_Gang	Kool & the Gang	dct:subject	dbc:Musical_groups_from_New_Jersey
page-2431	Sarah_Vaughan	Sarah Vaughan	dct:subject	dbc:Baptists_from_the_United_States
page-2431	Sarah_Vaughan	Sarah Vaughan	dct:subject	dbc:Musicians_from_Newark,_New_Jersey
page-2431	Sarah_Vaughan	Sarah Vaughan	dct:subject	dbc:People_from_Englewood_Cliffs,_New_Jersey
page-1197	Hermeto_Pascoal	Hermeto Pascoal	dct:subject	dbc:People_from_Alagoas
page-740	Dexter_Gordon	Dexter Gordon	dct:subject	dbc:Jazz_musicians_from_California
page-740	Dexter_Gordon	Dexter Gordon	dct:subject	dbc:Musicians_from_Los_Angeles,_California
page-3085	Trey_Anastasio	Trey Anastasio	dct:subject	dbc:People_from_Princeton,_New_Jersey
page-3085	Trey_Anastasio	Trey Anastasio	dct:subject	dbc:Musicians_from_Vermont
page-990	Fishbone	Fishbone	dct:subject	dbc:Alternative_rock_groups_from_California
page-990	Fishbone	Fishbone	dct:subject	dbc:Musical_groups_from_Los_Angeles,_California
page-3789	Weather_Report	Weather Report	dct:subject	dbc:Musical_groups_from_New_York_City
page-499	Cannonball_Adderley	Cannonball Adderley	dct:subject	dbc:Musicians_from_Tampa,_Florida
page-499	Cannonball_Adderley	Cannonball Adderley	dct:subject	dbc:People_from_Corona,_Queens
page-499	Cannonball_Adderley	Cannonball Adderley	dct:subject	dbc:Jazz_musicians_from_Florida
