Page Id	URL	Name	Music Attr	Value
1571	Led_Zeppelin_II	Led Zeppelin II	dbo:artist	dbr:Led_Zeppelin
2087	OK_Computer	OK Computer	dbo:artist	dbr:Radiohead
1526	Kid_A	Kid A	dbo:artist	dbr:Radiohead
461	Brian_Wilson_Presents_Smile	Brian Wilson Presents Smile	dbo:artist	dbr:Brian_Wilson
3798	What%27s_Going_On_(Marvin_Gaye_album)	What's Going On (Marvin Gaye album)	dbo:artist	dbr:Marvin_Gaye
618	Congregation_(album)	Congregation (album)	dbo:artist	dbr:The_Afghan_Whigs
252	At_Fillmore_East	At Fillmore East	dbo:artist	dbr:The_Allman_Brothers_Band
2149	Paul%27s_Boutique	Paul's Boutique	dbo:artist	dbr:Beastie_Boys
2064	No_More_Mr._Nice_Guy_(Gang_Starr_album)	No More Mr. Nice Guy (Gang Starr album)	dbo:artist	dbr:Gang_Starr
911	Fear_of_a_Black_Planet	Fear of a Black Planet	dbo:artist	dbr:Public_Enemy_(band)
1228	Hypocrisy_Is_the_Greatest_Luxury	Hypocrisy Is the Greatest Luxury	dbo:artist	dbr:The_Disposable_Heroes_of_Hiphoprisy
2442	Schizophrenia_(Wayne_Shorter_album)	Schizophrenia (Wayne Shorter album)	dbo:artist	dbr:Wayne_Shorter
2968	The_Soft_Parade	The Soft Parade	dbo:artist	dbr:The_Doors
2270	Post_(Bj%C3%B6rk_album)	Post (Björk album)	dbo:artist	dbr:Björk
2568	Spirit_of_Eden	Spirit of Eden	dbo:artist	dbr:Talk_Talk
148	After_the_Gold_Rush	After the Gold Rush	dbo:artist	dbr:Neil_Young
3096	Trout_Mask_Replica	Trout Mask Replica	dbo:artist	dbr:Captain_Beefheart
663	Cure_for_Pain	Cure for Pain	dbo:artist	dbr:Morphine_(band)
1020	Frances_the_Mute	Frances the Mute	dbo:artist	dbr:The_Mars_Volta
1265	Incunabula_(album)	Incunabula (album)	dbo:artist	dbr:Autechre
859	Embryonic	Embryonic	dbo:artist	dbr:The_Flaming_Lips
1248	Ill_Communication	Ill Communication	dbo:artist	dbr:Beastie_Boys
2580	Stand!	Stand!	dbo:artist	dbr:Sly_and_the_Family_Stone
780	Dose_(album)	Dose (album)	dbo:artist	dbr:Gov't_Mule
1322	Jaco_Pastorius_(album)	Jaco Pastorius (album)	dbo:artist	dbr:Jaco_Pastorius
468	Brown_Sugar_(D%27Angelo_album)	Brown Sugar (D'Angelo album)	dbo:artist	dbr:D'Angelo
2641	Svengali_(album)	Svengali (album)	dbo:artist	dbr:Gil_Evans
1043	Fresh_(Sly_and_the_Family_Stone_album)	Fresh (Sly and the Family Stone album)	dbo:artist	dbr:Sly_and_the_Family_Stone
285	Band_of_Gypsys	Band of Gypsys	dbo:artist	dbr:Jimi_Hendrix
1261	In_the_Wee_Small_Hours	In the Wee Small Hours	dbo:artist	dbr:Frank_Sinatra
3011	Third_(Soft_Machine_album)	Third (Soft Machine album)	dbo:artist	dbr:Soft_Machine
87	2001_(Dr._Dre_album)	2001 (Dr. Dre album)	dbo:artist	dbr:Dr._Dre
1712	Live_at_Sin-%C3%A9_(Legacy_Edition)	Live at Sin-é (Legacy Edition)	dbo:artist	dbr:Jeff_Buckley
2963	The_Reality_of_My_Surroundings	The Reality of My Surroundings	dbo:artist	dbr:Fishbone
901	Fahrenheit_(Toto_album)	Fahrenheit (Toto album)	dbo:artist	dbr:Toto_(band)
230	Art_Blakey_discography	Art Blakey discography	dbo:artist	dbr:Art_Blakey
1994	Musikk_Fra_Hybridene	Musikk Fra Hybridene	dbo:artist	dbr:Farmers_Market_(band)
2803	The_Allman_Brothers_Band_(album)	The Allman Brothers Band (album)	dbo:artist	dbr:The_Allman_Brothers_Band
1564	Late_Night_Tales:_The_Flaming_Lips	Late Night Tales: The Flaming Lips	dbo:artist	dbr:The_Flaming_Lips
2661	Tago_Mago	Tago Mago	dbo:artist	dbr:Can_(band)
2820	The_Blues_and_the_Abstract_Truth	The Blues and the Abstract Truth	dbo:artist	dbr:Oliver_Nelson
2836	The_Coming	The Coming	dbo:artist	dbr:Busta_Rhymes
3098	Truth_Crushed_to_Earth_Shall_Rise_Again	Truth Crushed to Earth Shall Rise Again	dbo:artist	dbr:House_of_Pain
2897	The_Infamous	The Infamous	dbo:artist	dbr:Mobb_Deep
3748	Van_Gogh_by_Numbers	Van Gogh by Numbers	dbo:artist	dbr:Christos_Rafalides
3748	Van_Gogh_by_Numbers	Van Gogh by Numbers	dbo:artist	dbr:Joe_Locke
2430	Santana_(1971_album)	Santana (1971 album)	dbo:artist	dbr:Santana_(band)
1193	Here_to_Save_You_All	Here to Save You All	dbo:artist	dbr:Chino_XL
2009	My_Way_(Frank_Sinatra_album)	My Way (Frank Sinatra album)	dbo:artist	dbr:Frank_Sinatra
