Page Id	URL	Name	Type Attr	Value
page-11	1926	1926	dct:subject	dbc:1926
page-35	1959	1959	dct:subject	dbc:1959
page-79	1991	1991	dct:subject	dbc:1991
page-259	August_17	August 17	dct:subject	dbc:August
page-259	August_17	August 17	dct:subject	dbc:Days_of_the_year
page-133	Aalen	Aalen	dct:subject	dbc:1360_establishments_in_the_Holy_Roman_Empire
page-133	Aalen	Aalen	dct:subject	dbc:150s_establishments_in_the_Roman_Empire
page-133	Aalen	Aalen	dct:subject	dbc:1803_disestablishments_in_the_Holy_Roman_Empire
page-133	Aalen	Aalen	dct:subject	dbc:260s_disestablishments_in_the_Roman_Empire
page-133	Aalen	Aalen	dct:subject	dbc:7th-century_establishments_in_Europe
page-133	Aalen	Aalen	dct:subject	dbc:Imperial_free_cities
page-133	Aalen	Aalen	dct:subject	dbc:Ostalbkreis
page-133	Aalen	Aalen	dct:subject	dbc:Populated_places_established_in_the_7th_century
page-133	Aalen	Aalen	dct:subject	dbc:States_and_territories_disestablished_in_the_1800s
page-133	Aalen	Aalen	dct:subject	dbc:States_and_territories_established_in_1360
page-133	Aalen	Aalen	dct:subject	dbc:Towns_in_Baden-Württemberg
page-406	Blues	Blues	dct:subject	dbc:Blues
page-406	Blues	Blues	dct:subject	dbc:Blues_styles
page-406	Blues	Blues	dct:subject	dbc:Jazz_terminology
page-406	Blues	Blues	dct:subject	dbc:Radio_formats
page-406	Blues	Blues	is dbp:subject of	dbr:The_Penguin_Guide_to_Blues_Recordings
page-406	Blues	Blues	is dbp:subject of	dbr:Val_Wilmer
page-406	Blues	Blues	is dbp:subject of	dbr:All_Music_Guide_to_the_Blues
page-406	Blues	Blues	is skos:subject of	dbr:Val_Wilmer
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:1862_births
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:1918_deaths
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:19th-century_classical_composers
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:20th-century_French_musicians
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:20th-century_classical_composers
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Ballet_composers
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Burials_at_Passy_Cemetery
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Cancer_deaths_in_France
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Chevaliers_of_the_Légion_d'honneur
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Composers_for_piano
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Conservatoire_de_Paris_alumni
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Deaths_from_colorectal_cancer
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:French_classical_composers
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:French_male_classical_composers
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:French_opera_composers
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Impressionist_composers
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Pantheists
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:People_from_Saint-Germain-en-Laye
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:People_of_the_Edwardian_era
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Prix_de_Rome_for_composition
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Pupils_of_Antoine_François_Marmontel
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Pupils_of_Ernest_Guiraud
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Ragtime_composers
page-587	Claude_Debussy	Claude Debussy	dct:subject	dbc:Romantic_composers
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:1922_births
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:1979_deaths
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:20th-century_American_musicians
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:20th-century_composers
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:20th-century_pianists
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:African-American_musicians
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:American_jazz_bandleaders
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:American_jazz_composers
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:American_jazz_double-bassists
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:American_jazz_pianists
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:American_people_of_African_descent
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:American_people_of_Chinese_descent
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:American_people_of_English_descent
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:American_people_of_German_descent
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:American_people_of_Hong_Kong_descent
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:American_people_of_Native_American_descent
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:American_people_of_Swedish_descent
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:Atlantic_Records_artists
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:Avant-garde_jazz_double-bassists
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:Bebop_double-bassists
