Page Id	URL	Name	Type Attr	Value
page-11	1926	1926	rdf:type	owl:Thing
page-11	1926	1926	rdf:type	dul:TimeInterval
page-11	1926	1926	rdf:type	wikidata:Q577
page-11	1926	1926	rdf:type	dbo:TimePeriod
page-11	1926	1926	rdf:type	dbo:Year
page-35	1959	1959	rdf:type	owl:Thing
page-35	1959	1959	rdf:type	dul:TimeInterval
page-35	1959	1959	rdf:type	wikidata:Q577
page-35	1959	1959	rdf:type	dbo:TimePeriod
page-35	1959	1959	rdf:type	dbo:Year
page-79	1991	1991	rdf:type	owl:Thing
page-79	1991	1991	rdf:type	dul:TimeInterval
page-79	1991	1991	rdf:type	wikidata:Q577
page-79	1991	1991	rdf:type	dbo:TimePeriod
page-79	1991	1991	rdf:type	dbo:Year
page-133	Aalen	Aalen	rdf:type	yago:AdministrativeDistrict108491826
page-133	Aalen	Aalen	rdf:type	yago:Country108544813
page-133	Aalen	Aalen	rdf:type	yago:District108552138
page-133	Aalen	Aalen	rdf:type	yago:Location100027167
page-133	Aalen	Aalen	rdf:type	yago:Object100002684
page-133	Aalen	Aalen	rdf:type	yago:Region108630985
page-133	Aalen	Aalen	rdf:type	yago:Town108665504
page-133	Aalen	Aalen	rdf:type	yago:UrbanArea108675967
page-133	Aalen	Aalen	rdf:type	yago:YagoGeoEntity
page-133	Aalen	Aalen	rdf:type	yago:YagoLegalActorGeo
page-133	Aalen	Aalen	rdf:type	yago:StatesAndTerritoriesEstablishedIn1360
page-133	Aalen	Aalen	rdf:type	owl:Thing
page-133	Aalen	Aalen	rdf:type	dbo:Place
page-133	Aalen	Aalen	rdf:type	dbo:Location
page-133	Aalen	Aalen	rdf:type	wikidata:Q3957
page-133	Aalen	Aalen	rdf:type	wikidata:Q486972
page-133	Aalen	Aalen	rdf:type	dbo:PopulatedPlace
page-133	Aalen	Aalen	rdf:type	dbo:Settlement
page-133	Aalen	Aalen	rdf:type	dbo:Town
page-133	Aalen	Aalen	rdf:type	geo:SpatialThing
page-133	Aalen	Aalen	rdf:type	schema:Place
page-133	Aalen	Aalen	rdf:type	yago:YagoPermanentlyLocatedEntity
page-133	Aalen	Aalen	rdf:type	yago:GeographicalArea108574314
page-133	Aalen	Aalen	rdf:type	yago:Municipality108626283
page-133	Aalen	Aalen	rdf:type	yago:PhysicalEntity100001930
page-133	Aalen	Aalen	rdf:type	yago:TownsInBaden-Württemberg
page-406	Blues	Blues	rdf:type	owl:Thing
page-406	Blues	Blues	rdf:type	dbo:Genre
page-406	Blues	Blues	rdf:type	dul:Concept
page-406	Blues	Blues	rdf:type	wikidata:Q188451
page-406	Blues	Blues	rdf:type	dbo:MusicGenre
page-406	Blues	Blues	rdf:type	dbo:TopicalConcept
page-406	Blues	Blues	rdf:type	umbel-rc:MusicalComposition
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:20th-centuryClassicalComposers
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:AlumniOfTheConservatoireDeParis
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:Alumnus109786338
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:Artist109812338
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:BalletComposers
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:CausalAgent100007347
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:Composer109947232
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:Creator109614315
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:Intellectual109621545
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:LivingThing100004258
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:Musician110339966
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:Object100002684
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:Organism100004475
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:Person100007846
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:Scholar110557854
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:Whole100003553
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:YagoLegalActorGeo
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:RagtimeComposers
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:RomanticComposers
page-587	Claude_Debussy	Claude Debussy	rdf:type	owl:Thing
page-587	Claude_Debussy	Claude Debussy	rdf:type	foaf:Person
page-587	Claude_Debussy	Claude Debussy	rdf:type	dbo:Person
page-587	Claude_Debussy	Claude Debussy	rdf:type	dul:Agent
page-587	Claude_Debussy	Claude Debussy	rdf:type	dul:NaturalPerson
page-587	Claude_Debussy	Claude Debussy	rdf:type	wikidata:Q215627
page-587	Claude_Debussy	Claude Debussy	rdf:type	wikidata:Q5
page-587	Claude_Debussy	Claude Debussy	rdf:type	dbo:Agent
page-587	Claude_Debussy	Claude Debussy	rdf:type	schema:Person
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:ComposersForPiano
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:FrenchComposers
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:OperaComposers
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:PeopleFromSaint-Germain-en-Laye
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:PeopleOfTheEdwardianEra
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:YagoLegalActor
page-587	Claude_Debussy	Claude Debussy	rdf:type	yago:PhysicalEntity100001930
page-533	Charles_Mingus	Charles Mingus	rdf:type	yago:AfricanAmericanMusicians
page-533	Charles_Mingus	Charles Mingus	rdf:type	yago:AmericanJazzBandleaders
page-533	Charles_Mingus	Charles Mingus	rdf:type	yago:AmericanJazzComposers
page-533	Charles_Mingus	Charles Mingus	rdf:type	yago:AmericanJazzPianists
page-533	Charles_Mingus	Charles Mingus	rdf:type	yago:AmericanMusiciansOfChineseDescent
page-533	Charles_Mingus	Charles Mingus	rdf:type	yago:AmericanPeopleOfSwedishDescent
page-533	Charles_Mingus	Charles Mingus	rdf:type	yago:Artist109812338
page-533	Charles_Mingus	Charles Mingus	rdf:type	yago:Associate109816771
page-533	Charles_Mingus	Charles Mingus	rdf:type	yago:AtlanticRecordsArtists
