URL	Name	Attr	Value
Blues	Blues	dbo:derivative	Jazz
Blues	Blues	dbo:derivative	Rock_music
Blues	Blues	dbo:instrument	Double_bass
Blues	Blues	dbo:instrument	Trumpet
Blues	Blues	dbp:derivatives	Jazz
Blues	Blues	dbp:derivatives	Rock_music
Blues	Blues	dct:subject	Blues
Blues	Blues	is dbo:genre of	Romina_Daniele
Blues	Blues	is dbo:genre of	Blues
Blues	Blues	is dbo:genre of	Derek_Trucks
Blues	Blues	is dbo:stylisticOrigin of	Hard_bop
Blues	Blues	is dbo:stylisticOrigin of	Jazz
Blues	Blues	is dbo:stylisticOrigin of	Rock_music
Blues	Blues	is dbo:stylisticOrigin of	Art_rock
Blues	Blues	is dbo:stylisticOrigin of	Jazz
Blues	Blues	is dbp:genre of	Monterey_Jazz_Festival
Blues	Blues	is dbp:genre of	Romina_Daniele
Blues	Blues	is dbp:genre of	Blues
Blues	Blues	is dbp:genre of	Derek_Trucks
Blues	Blues	is dbp:genre of	Ann_Arbor_Blues_and_Jazz_Festival
Blues	Blues	is dbp:genre of	Clarence_Horatius_Miller
Blues	Blues	is dbp:stylisticOrigins of	Hard_bop
Blues	Blues	is dbp:stylisticOrigins of	Jazz
Blues	Blues	is dbp:stylisticOrigins of	Rock_music
Blues	Blues	is dbp:stylisticOrigins of	Art_rock
Blues	Blues	is dbp:stylisticOrigins of	Jazz
Black_Sabbath	Black Sabbath	dbo:recordLabel	Warner_Bros._Records
Black_Sabbath	Black Sabbath	dbp:label	Warner_Bros._Records
Black_Sabbath	Black Sabbath	dct:subject	Black_Sabbath
Claude_Debussy	Claude Debussy	dbo:deathPlace	Paris
Claude_Debussy	Claude Debussy	is dbp:writer of	Ocean_of_Sound
Charles_Mingus	Charles Mingus	dbo:associatedBand	Eric_Dolphy
Charles_Mingus	Charles Mingus	dbo:associatedBand	Jaki_Byard
Charles_Mingus	Charles Mingus	dbo:associatedBand	Jack_Walrath
Charles_Mingus	Charles Mingus	dbo:associatedBand	Charlie_Parker
Charles_Mingus	Charles Mingus	dbo:associatedBand	Duke_Ellington
Charles_Mingus	Charles Mingus	dbo:associatedBand	Max_Roach
Charles_Mingus	Charles Mingus	dbo:associatedMusicalArtist	Eric_Dolphy
Charles_Mingus	Charles Mingus	dbo:associatedMusicalArtist	Jaki_Byard
Charles_Mingus	Charles Mingus	dbo:associatedMusicalArtist	Jack_Walrath
Charles_Mingus	Charles Mingus	dbo:associatedMusicalArtist	Charlie_Parker
Charles_Mingus	Charles Mingus	dbo:associatedMusicalArtist	Duke_Ellington
Charles_Mingus	Charles Mingus	dbo:associatedMusicalArtist	Max_Roach
Charles_Mingus	Charles Mingus	dbo:genre	Avant-garde_jazz
Charles_Mingus	Charles Mingus	dbo:genre	Post-bop
Charles_Mingus	Charles Mingus	dbo:genre	Hard_bop
Charles_Mingus	Charles Mingus	dbo:genre	Free_jazz
Charles_Mingus	Charles Mingus	dbo:genre	Jazz
Charles_Mingus	Charles Mingus	dbo:genre	Bebop
Charles_Mingus	Charles Mingus	dbo:genre	Third_stream
Charles_Mingus	Charles Mingus	dbo:instrument	Double_bass
Charles_Mingus	Charles Mingus	dbo:recordLabel	Debut_Records
Charles_Mingus	Charles Mingus	dbo:recordLabel	Impulse!_Records
Charles_Mingus	Charles Mingus	dbo:recordLabel	Columbia_Records
Charles_Mingus	Charles Mingus	dbp:associatedActs	Eric_Dolphy
Charles_Mingus	Charles Mingus	dbp:associatedActs	Jaki_Byard
Charles_Mingus	Charles Mingus	dbp:associatedActs	Jack_Walrath
Charles_Mingus	Charles Mingus	dbp:associatedActs	Charlie_Parker
Charles_Mingus	Charles Mingus	dbp:associatedActs	Duke_Ellington
Charles_Mingus	Charles Mingus	dbp:associatedActs	Max_Roach
Charles_Mingus	Charles Mingus	dbp:genre	Avant-garde_jazz
Charles_Mingus	Charles Mingus	dbp:genre	Post-bop
Charles_Mingus	Charles Mingus	dbp:genre	Hard_bop
Charles_Mingus	Charles Mingus	dbp:genre	Free_jazz
Charles_Mingus	Charles Mingus	dbp:genre	Jazz
Charles_Mingus	Charles Mingus	dbp:genre	Bebop
Charles_Mingus	Charles Mingus	dbp:genre	Third_stream
Charles_Mingus	Charles Mingus	dbp:label	Debut_Records
Charles_Mingus	Charles Mingus	dbp:label	Impulse!_Records
Charles_Mingus	Charles Mingus	dbp:label	Columbia_Records
Charles_Mingus	Charles Mingus	dct:subject	Charles_Mingus
Charles_Mingus	Charles Mingus	is dbo:associatedBand of	Teo_Macero
Charles_Mingus	Charles Mingus	is dbo:associatedBand of	Eric_Dolphy
Charles_Mingus	Charles Mingus	is dbo:associatedBand of	Clark_Terry
Charles_Mingus	Charles Mingus	is dbo:associatedBand of	Ted_Curson
Charles_Mingus	Charles Mingus	is dbo:associatedBand of	Jaki_Byard
Charles_Mingus	Charles Mingus	is dbo:associatedBand of	Randy_Brecker
Charles_Mingus	Charles Mingus	is dbo:associatedBand of	Joni_Mitchell
Charles_Mingus	Charles Mingus	is dbo:associatedBand of	Bud_Powell
Charles_Mingus	Charles Mingus	is dbo:associatedBand of	Max_Roach
Charles_Mingus	Charles Mingus	is dbo:associatedBand of	Michael_Brecker
Charles_Mingus	Charles Mingus	is dbo:associatedBand of	Elvin_Jones
Charles_Mingus	Charles Mingus	is dbo:associatedBand of	Fats_Navarro
Charles_Mingus	Charles Mingus	is dbo:associatedMusicalArtist of	Teo_Macero
