Page Id	URL	Name	EntityType	PageViews	subject	miles_work
11	1926	1926	time period	26911	events	
35	1959	1959	time period	37986	events	
79	1991	1991	time period	93302	events	
259	August_17	August 17	Thing	107167	events	
133	Aalen	Aalen	settlement	19695	places	
406	Blues	Blues	genre	423277	genres	
587	Claude_Debussy	Claude Debussy	agent	305364	musicians	
533	Charles_Mingus	Charles Mingus	musical artist	135163	musicians	
804	Drum_and_bass	Drum and bass	genre	166706	genres	
685	Dave_Brubeck	Dave Brubeck	musical artist	170886	musicians	
781	Double_bass	Double bass	Thing	250660	other	
1005	Flugelhorn	Flugelhorn	Thing	119825	other	
1050	Funk	Funk	genre	239778	genres	
984	Film_noir	Film noir	genre	418177	other	
1042	French_horn	French horn	Instrumentality103575240	140378	other	
1073	George_Benson	George Benson	musical artist	115302	musicians	
1141	Greenwich_Village	Greenwich Village	List of Manhattan neighborhoods	270062	places	
1144	Grinnell_College	Grinnell College	Private university	62699	places	
1983	Music_of_India	Music of India	genre	162218	genres	
1328	James_Brown	James Brown	musical artist	1430943	musicians	
1451	John_Lee_Hooker	John Lee Hooker	musical artist	134053	musicians	
1402	Jimi_Hendrix	Jimi Hendrix	musical artist	1686117	musicians	
1359	Jazz_guitar	Jazz guitar	Instrument103574816	23542	other	
1475	Joni_Mitchell	Joni Mitchell	musical artist	492987	musicians	
1534	King_Crimson	King Crimson	Band	361603	musicians	
1500	Karlheinz_Stockhausen	Karlheinz Stockhausen	agent	121595	musicians	
1590	Lester_Bangs	Lester Bangs	agent	73694	people	
1840	May_26	May 26	Thing	21151	events	
1932	Minor_scale	Minor scale	Thing	165471	other	
2034	Nevis	Nevis	country	104544	places	
2081	Oboe	Oboe	Thing	171120	other	
2141	Paris	Paris	settlement	1921250	places	
2288	Quartet	Quartet	genre	31330	genres	
2384	Rock_music	Rock music	genre	517638	genres	
2398	Ron_Carter	Ron Carter	musical artist	31699	musicians	
2331	Red_Hot_Chili_Peppers	Red Hot Chili Peppers	Band	1109525	musicians	
2597	Steve_Reich	Steve Reich	agent	96356	musicians	
2460	September_28	September 28	Thing	118356	events	
2594	Steve_Lacy	Steve Lacy	musical artist	14628	musicians	
2478	Shea_Stadium	Shea Stadium	stadium	218870	places	
2864	The_Doors	The Doors	Band	611920	musicians	
3097	Trumpet	Trumpet	Thing	198326	other	
3100	Tuba	Tuba	Thing	134754	other	
2965	The_Rolling_Stones	The Rolling Stones	Band	1342169	musicians	
2790	Terry_Riley	Terry Riley	musical artist	54265	musicians	
40	1960s	1960s	Thing	213000	events	
60	1970s	1970s	Thing	169575	events	
22	1950s	1950s	Thing	131964	events	
16	1940s	1940s	Thing	82035	events	
2305	Radiohead	Radiohead	Band	724992	musicians	
809	Duke_Ellington	Duke Ellington	musical artist	278541	musicians	
2354	Rhodes_piano	Rhodes piano	Group100031264	48522	genres	
237	Art_rock	Art rock	genre	100829	genres	
1571	Led_Zeppelin_II	Led Zeppelin II	album	215027	recording	
2280	Progressive_rock	Progressive rock	genre	312460	genres	
3766	Wah-wah_(music)	Wah-wah (music)	ExpressiveStyle107066659	16686	other	
1456	John_Paul_Jones_(musician)	John Paul Jones (musician)	musical artist	358738	musicians	
755	Dizzy_Gillespie	Dizzy Gillespie	musical artist	164177	musicians	
540	Charlie_Parker	Charlie Parker	musical artist	287788	musicians	
199	Ambient_music	Ambient music	genre	148188	genres	
2275	Prince_(musician)	Prince (musician)	musical artist	1642187	musicians	
304	Bassist	Bassist	Thing	24006	musicians	
3068	Tony_Williams_(drummer)	Tony Williams (drummer)	musical artist	49277	musicians	
305	Beatnik	Beatnik	Thing	189433	other	
1943	Modal_jazz	Modal jazz	genre	55392	genres	
2570	St._Albans,_Queens	St. Albans, Queens	List of Queens neighborhoods	20017	places	
1105	Glenn_Miller	Glenn Miller	musical artist	264633	musicians	
639	Count_Basie	Count Basie	musical artist	127937	musicians	
1315	Jack_Johnson_(boxer)	Jack Johnson (boxer)	agent	247731	musicians	
873	Eric_Dolphy	Eric Dolphy	musical artist	45296	musicians	
1529	Kielce	Kielce	settlement	25997	places	
1389	Jeff_Noon	Jeff Noon	agent	7197	people	
3969	Wilco	Wilco	Band	270342	musicians	
447	Boris_Vian	Boris Vian	agent	32700	musicians	
1967	Motherfucker	Motherfucker	Thing	169780	other	
2606	Sting_(musician)	Sting (musician)	agent	792164	musicians	
1555	Larry_Graham	Larry Graham	musical artist	94761	musicians	
2087	OK_Computer	OK Computer	album	214926	recording	
2424	Salsa_music	Salsa music	genre	97415	genres	
201	Amon_Tobin	Amon Tobin	musical artist	46819	musicians	
402	Blue_Note_Records	Blue Note Records	agent	40354	other	
1267	Industrial_music	Industrial music	genre	109021	genres	
769	Don_DeLillo	Don DeLillo	agent	92021	people	
175	Alex_Haley	Alex Haley	agent	153199	musicians	
2822	The_Byrds	The Byrds	Band	254152	musicians	
1041	Free_jazz	Free jazz	genre	55994	genres	
2156	Paul_Whiteman	Paul Whiteman	musical artist	38169	musicians	
2154	Paul_Shaffer	Paul Shaffer	agent	173492	musicians	
2648	Switchfoot	Switchfoot	Band	141415	musicians	
1304	J._J._Johnson	J. J. Johnson	musical artist	29818	musicians	
1676	List_of_Rock_and_Roll_Hall_of_Fame_inductees	List of Rock and Roll Hall of Fame inductees	Thing	294246	other	
2145	Parliament-Funkadelic	Parliament-Funkadelic	Band	102680	musicians	
3780	Washington,_D.C.	Washington, D.C.	Federal district	1487109	places	
195	Alton,_Illinois	Alton, Illinois	List of cities in Illinois	45646	places	
822	East_St._Louis,_Illinois	East St. Louis, Illinois	List of cities in Illinois	112623	places	
1928	Millstadt,_Illinois	Millstadt, Illinois	List of towns and villages in Illinois	4232	places	
2284	Public_Image_Ltd	Public Image Ltd	Band	192756	musicians	
1395	Jerry_Maguire	Jerry Maguire	Q11424	382374	recording	
1670	List_of_people_on_the_postage_stamps_of_the_United_States	List of people on the postage stamps of the United States	Thing	11565	other	
509	Carlos_Santana	Carlos Santana	musical artist	384233	musicians	
2393	Rollins_Band	Rollins Band	Band	48210	musicians	
1321	Jaco_Pastorius	Jaco Pastorius	musical artist	280902	musicians	
3777	Warren_DeMartini	Warren DeMartini	musical artist	30225	musicians	
2802	The_Allman_Brothers_Band	The Allman Brothers Band	Band	325633	musicians	
2204	Polyrhythm	Polyrhythm	agent	75298	genres	
310	Beck	Beck	musical artist	598587	musicians	
3027	Tiki_Fulwood	Tiki Fulwood	agent	6248	musicians	
3971	Will-o%27-the-wisp	Will-o'-the-wisp	Thing	202731	other	
2111	Ornette_Coleman	Ornette Coleman	musical artist	103972	musicians	
1169	Harry_Belafonte	Harry Belafonte	agent	353586	musicians	
2093	Olympia_(Paris)	Olympia (Paris)	venue	13686	places	
1646	List_of_jazz_musicians	List of jazz musicians	Thing	86541	other	
1838	Max_Roach	Max Roach	musical artist	50028	musicians	
473	Bud_Powell	Bud Powell	musical artist	50176	musicians	
539	Charlie_Christian	Charlie Christian	musical artist	32800	musicians	
2586	Steely_Dan	Steely Dan	Band	395496	musicians	
64	1972_in_music	1972 in music	populated place	30998	events	
65	1973_in_music	1973 in music	populated place	32685	events	
49	1965_in_music	1965 in music	musical work	32764	events	
50	1966_in_music	1966 in music	populated place	29368	events	
56	1969_in_music	1969 in music	populated place	36775	events	
59	1970_in_music	1970 in music	populated place	48229	events	
52	1967_in_music	1967 in music	populated place	38485	events	
54	1968_in_music	1968 in music	populated place	28538	events	
1601	Linda_Ronstadt	Linda Ronstadt	musical artist	554671	musicians	
48	1964_in_music	1964 in music	populated place	18386	events	
66	1974_in_music	1974 in music	populated place	31327	events	
69	1976_in_music	1976 in music	populated place	34045	events	
70	1977_in_music	1977 in music	populated place	34533	events	
72	1981_in_music	1981 in music	populated place	27444	events	
73	1983_in_music	1983 in music	populated place	33145	events	
75	1985_in_music	1985 in music	populated place	50432	events	
76	1986_in_music	1986 in music	place	34547	places	
82	1991_in_music	1991 in music	populated place	35005	events	
47	1963_in_music	1963 in music	musical work	15247	events	
45	1962_in_music	1962 in music	musical work	14068	events	
44	1961_in_music	1961 in music	musical work	10681	events	
39	1960_in_music	1960 in music	place	19306	events	
37	1959_in_music	1959 in music	work	11240	events	
33	1958_in_music	1958 in music	place	10291	places	
31	1957_in_music	1957 in music	musical work	11277	events	
29	1956_in_music	1956 in music	populated place	11144	events	
18	1945_in_music	1945 in music	populated place	13936	events	
25	1951_in_music	1951 in music	populated place	8683	events	
27	1955_in_music	1955 in music	populated place	17167	events	
88	2003_in_music	2003 in music	populated place	27161	events	
13	1926_in_music	1926 in music	Thing	3835	events	
612	Columbia_Records	Columbia Records	agent	235763	other	
1578	Lenny_Kravitz	Lenny Kravitz	musical artist	1002531	musicians	
2510	Sly_and_the_Family_Stone	Sly and the Family Stone	Band	168122	musicians	
2511	Sly_Stone	Sly Stone	musical artist	146754	musicians	
818	Earth,_Wind_%26_Fire	Earth, Wind & Fire	Band	351724	musicians	
1753	Louis_Jordan	Louis Jordan	musical artist	60385	musicians	
1024	Frank_Loesser	Frank Loesser	musical artist	42292	musicians	
524	Celia_Cruz	Celia Cruz	musical artist	536449	musicians	
1538	Kool_%26_the_Gang	Kool & the Gang	Band	158675	musicians	
