URL	Name	Subject	Section Header	Section Index	PageViews
User:Gareth_Owen/todo	User:Gareth Owen/todo	other	first paragraph	0	0
Talk:Jazz	Talk:Jazz	other	edit to smooth jazz	116	1346
Talk:Music/Archive_1	Talk:Music/Archive 1	other	first paragraph	0	0
Talk:Miles_Davis	Talk:Miles Davis	other	first paragraph	0	770
Talk:Wah-wah_(music)	Talk:Wah-wah (music)	other	first paragraph	0	98
Talk:Key_(music)	Talk:Key (music)	other	gravity	28	213
Talk:Music_of_the_United_States	Talk:Music of the United States	other	older entries	23	467
Talk:Twelve-tone_technique	Talk:Twelve-tone technique	other	removed uncited	113	366
Wikipedia:Selected_anniversaries/August_17	Wikipedia:Selected anniversaries/August 17	other	first paragraph	0	0
Talk:Hard_bop	Talk:Hard bop	other	walkin marks the beginning of the hard bop movement	17	143
User:Bth/ToDoFeatured	User:Bth/ToDoFeatured	other	music	31	0
User:Dawidl	User:Dawidl	other	first paragraph	0	417
User:Inversetime	User:Inversetime	other	specific interests	18	39
User:Silence	User:Silence	other	first paragraph	0	660
Talk:Joaqu%C3%ADn_Rodrigo	Talk:Joaquín Rodrigo	other	artists influenced by rodrigocover tunes	7	179
Talk:Bill_Evans	Talk:Bill Evans	other	first paragraph	0	420
Wikipedia:WikiProject_Albums/Featured_Albums_Project	Wikipedia:WikiProject Albums/Featured Albums Project	other	future candidates	8	0
User:Benjamin.Heasly	User:Benjamin.Heasly	other	first paragraph	0	19
Talk:Darius_Milhaud	Talk:Darius Milhaud	other	 whom milhaud famously told never to apologize for writing a pretty melody	37	154
Wikipedia:Today%27s_featured_article/September_2005	Wikipedia:Today's featured article/September 2005	other	first paragraph	0	0
Wikipedia:Today%27s_featured_article/September_28,_2005	Wikipedia:Today's featured article/September 28, 2005	other	first paragraph	0	0
Wikipedia:Today%27s_featured_article/September_29,_2005	Wikipedia:Today's featured article/September 29, 2005	other	first paragraph	0	0
Talk:Al_Green	Talk:Al Green	other	first paragraph	0	219
User:Brinkost/Musical-acts-that-I-like	User:Brinkost/Musical-acts-that-I-like	other	musical acts that i like	1	0
Wikipedia:WikiProject_New_York_City	Wikipedia:WikiProject New York City	other	recognized content	81	2937
Wikipedia:Featured_article_candidates/Featured_log/October_2003_and_before	Wikipedia:Featured article candidates/Featured log/October 2003 and before	other	first paragraph	0	0
User:Lironos	User:Lironos	other	music	92	142
User:Skyring	User:Skyring	other	first paragraph	0	2645
Talk:Coltrane_changes	Talk:Coltrane changes	other	first appearance of coltrane changes	9	113
User:Jxn/music	User:Jxn/music	other	first paragraph	0	0
User:Cross-eyedmary	User:Cross-eyedmary	other	music	10	23
User:Knucmo2	User:Knucmo2	other	wikipedia work	19	356
Talk:Jazz_from_Hell	Talk:Jazz from Hell	other	genre	6	91
User:Guitarboyzinc	User:Guitarboyzinc	other	first paragraph	0	24
User:Deus_Homoni	User:Deus Homoni	other	bonjour hola shalom et cetera	28	186
User:Pete.Hurd	User:Pete.Hurd	other	subcultural affiliations countercultural  political allegiances	16	639
User:MattKingston/biolist	User:MattKingston/biolist	other	sorted	11	0
File:Milestonescover.jpg	File:Milestonescover.jpg	other	first paragraph	0	115
Talk:Rolling_Stone%27s_500_Greatest_Albums_of_All_Time	Talk:Rolling Stone's 500 Greatest Albums of All Time	other	add to list artists with 4 albums on list	182	0
Talk:Collateral_(film)	Talk:Collateral (film)	other	revisedshortened plot summary	74	321
Talk:List_of_1970s_one-hit_wonders_in_the_United_States	Talk:List of 1970s one-hit wonders in the United States	other	disambiguation needed	59	170
User:Cassius987	User:Cassius987	other	other favorites	15	90
Wikipedia:Former_featured_articles	Wikipedia:Former featured articles	other	first paragraph	0	23286
Wikipedia:Articles_for_deletion/Log/2005_June_13	Wikipedia:Articles for deletion/Log/2005 June 13	other	first paragraph	0	0
Wikipedia:Articles_for_deletion/My_Funny_Valentine	Wikipedia:Articles for deletion/My Funny Valentine	other	first paragraph	0	0
User:Yakuzai	User:Yakuzai	other	first paragraph	0	117
Talk:My_Funny_Valentine	Talk:My Funny Valentine	other	original research  need refs	23	364
Wikipedia:WikiProject_California	Wikipedia:WikiProject California	other	first paragraph	0	3785
File:Birth_of_the_Cool.jpg	File:Birth of the Cool.jpg	other	first paragraph	0	145
User:FlorianB/Images	User:FlorianB/Images	other	images i uploaded	3	0
Wikipedia:Featured_article_removal_candidates/Bob_Dylan	Wikipedia:Featured article removal candidates/Bob Dylan	other	first paragraph	0	0
User:Passive	User:Passive	other	first paragraph	0	348
User:Ekespe	User:Ekespe	other	music	13	311
User:Madnova777	User:Madnova777	other	stubs created by me	6	43
User:Davidals	User:Davidals	other	favorite things	34	440
User:Swashbuckler332	User:Swashbuckler332	other	additional interests	14	43
File:Miles_Davis_Sorcerer.jpg	File:Miles Davis Sorcerer.jpg	other	first paragraph	0	305
Portal:Music/Featured_articles	Portal:Music/Featured articles	other	musicians and bands	44	0
User:Mel_Etitis/Jazz-L_top_100	User:Mel Etitis/Jazz-L top 100	other	14	4	0
File:Tribute_To_Jack_Johnson.jpg	File:Tribute To Jack Johnson.jpg	other	first paragraph	0	99
User:Mamawrites/Roles_for_New_Wikipedians	User:Mamawrites/Roles for New Wikipedians	other	tracking my early contributions to wikipedia	17	0
Wikipedia:Featured_articles_promoted_in_2003	Wikipedia:Featured articles promoted in 2003	other	promoted in october 2003 and before	16	308
Wikipedia:Articles_for_deletion/Log/2005_September_7	Wikipedia:Articles for deletion/Log/2005 September 7	other	first paragraph	0	0
Wikipedia:Articles_for_deletion/Keith_jarret	Wikipedia:Articles for deletion/Keith jarret	other	first paragraph	0	0
File:Blue_haze.JPG	File:Blue haze.JPG	other	first paragraph	0	87
Talk:Ludwig_Wittgenstein/Archive_2	Talk:Ludwig Wittgenstein/Archive 2	other	antiwittgenstein rants	168	0
Talk:Swung_note	Talk:Swung note	other	merge rosanna shuffle	45	154
User:Jobe6/Albums	User:Jobe6/Albums	other	first paragraph	0	0
Wikipedia:Featured_article_removal_candidates/archive/July_to_September_2005	Wikipedia:Featured article removal candidates/archive/July to September 2005	other	kept	67	0
Wikipedia:WikiProject_Illinois	Wikipedia:WikiProject Illinois	other	articles	67	2553
File:CharlieParker_YardbirdSuite.ogg	File:CharlieParker YardbirdSuite.ogg	other	first paragraph	0	467
Portal:New_York_City	Portal:New York City	other	first paragraph	0	36733
Wikipedia:Templates_for_discussion/Log/Not_deleted/October_2005	Wikipedia:Templates for discussion/Log/Not deleted/October 2005	other	first paragraph	0	0
File:BitchesBrewGatefold.jpg	File:BitchesBrewGatefold.jpg	other	first paragraph	0	518
Wikipedia:Version_1.0_Editorial_Team/FAs_first	Wikipedia:Version 1.0 Editorial Team/FAs first	other	first paragraph	0	0
User:Brian0918/Featured	User:Brian0918/Featured	other	music	38	0
User:CarlosLB	User:CarlosLB	other	my wikipedia favourites	2	105
Talk:Jane_Siberry	Talk:Jane Siberry	other	globe and mail	81	57
User:BDP	User:BDP	other	bandsartists im interested in	3	106
Wikipedia:Requests_for_adminship/Andrew_Norman	Wikipedia:Requests for adminship/Andrew Norman	other	first paragraph	0	0
User:Cpdilkus	User:Cpdilkus	other	music im fond of	31	115
File:Miles_Davis-Tutu_(album_cover).jpg	File:Miles Davis-Tutu (album cover).jpg	other	first paragraph	0	359
User:Cassandraleo	User:Cassandraleo	other	some bands  musicians i have enjoyed in the past several years	9	259
Wikipedia:WikiProject_Missing_encyclopedic_articles/List_of_notable_songs/12	Wikipedia:WikiProject Missing encyclopedic articles/List of notable songs/12	other	missing or needs redirect	7	0
User:SuggestBot/Suggestions_for_Dfrankow	User:SuggestBot/Suggestions for Dfrankow	other	first paragraph	0	0
Wikipedia:Featured_Music_Project	Wikipedia:Featured Music Project	other	first paragraph	0	153
File:Miles_Davis_You%27re_Under_Arrest_front.jpg	File:Miles Davis You're Under Arrest front.jpg	other	first paragraph	0	51
File:Miles_Davis_Live-Evil.jpg	File:Miles Davis Live-Evil.jpg	other	first paragraph	0	239
Wikipedia:Articles_for_deletion/Log/2005_December_29	Wikipedia:Articles for deletion/Log/2005 December 29	other	first paragraph	0	0
Wikipedia:Articles_for_deletion/Elwood_Buchanan	Wikipedia:Articles for deletion/Elwood Buchanan	other	first paragraph	0	0
File:Doo-Bop_front.jpg	File:Doo-Bop front.jpg	other	first paragraph	0	86
User:OneTopJob6	User:OneTopJob6	other	first paragraph	0	188
User:Chupon/CDs	User:Chupon/CDs	other	first paragraph	0	0
User:NIRVANA2764	User:NIRVANA2764	other	first paragraph	0	243
User:Purplelefant96	User:Purplelefant96	other	some things im obsessed about	9	122
Talk:Cynthia_Robinson	Talk:Cynthia Robinson	other	untitled	4	141
File:CompleteBitchesBrewBoxSetReissue.jpg	File:CompleteBitchesBrewBoxSetReissue.jpg	other	first paragraph	0	72
User:Preschooler.at.heart	User:Preschooler.at.heart	other	first paragraph	0	281
User:Lpgeffen	User:Lpgeffen	other	first paragraph	0	210
Talk:Erik_Truffaz	Talk:Erik Truffaz	other	untitled	6	59
User:Per_Honor_et_Gloria/FA	User:Per Honor et Gloria/FA	other	music	32	0
User:Vir/sandbox/feature_index	User:Vir/sandbox/feature index	other	music	16	0
User:Gamaliel/RS500	User:Gamaliel/RS500	other	first paragraph	0	0
Talk:Pedal_point	Talk:Pedal point	other	removed	27	100
User:Richard0612/Userbox_Archive/User_Miles	User:Richard0612/Userbox Archive/User Miles	other	first paragraph	0	0
Wikipedia:Userboxes/Music/Artists	Wikipedia:Userboxes/Music/Artists	other	first paragraph	0	0
Talk:Michael_Jackson/Archive_4	Talk:Michael Jackson/Archive 4	other	we need to seriously discuss rewriting this article	413	0
Portal:Theatre/Selected_article	Portal:Theatre/Selected article	other	selected articles list	9	0
User:Mylifeisought	User:Mylifeisought	other	first paragraph	0	83
Talk:Radiohead/Archive_1	Talk:Radiohead/Archive 1	other	compare to	90	0
Talk:Earl_Hines	Talk:Earl Hines	other	more sources	29	250
User:Djarnum1	User:Djarnum1	other	first paragraph	0	57
User:The_Little_Blue_Frog	User:The Little Blue Frog	other	first paragraph	0	363
Wikipedia:Featured_article_candidates/Nellie_Kim/archive1	Wikipedia:Featured article candidates/Nellie Kim/archive1	other	first paragraph	0	0
Talk:Larry_Rivers	Talk:Larry Rivers	other	untitled	7	69
User:Rainwarrior/quartal_translation	User:Rainwarrior/quartal translation	other	history	115	0
Wikipedia:Featured_article_candidates/Featured_log/May_2006	Wikipedia:Featured article candidates/Featured log/May 2006	other	first paragraph	0	0
User:Preschooler.at.heart/Sandbox	User:Preschooler.at.heart/Sandbox	other	first paragraph	0	0
Talk:Transhumanism/Archive_7	Talk:Transhumanism/Archive 7	other	transhumanist art	84	0
User:Tiburon/Babel	User:Tiburon/Babel	other	first paragraph	0	0
User:Asbogle	User:Asbogle	other	first paragraph	0	30
Talk:Juma_Santos	Talk:Juma Santos	other	tone	4	28
Portal:Biography/Selected_anniversaries/May_26	Portal:Biography/Selected anniversaries/May 26	other	first paragraph	0	0
User:Dawkeye	User:Dawkeye	other	first paragraph	0	633
User:Silence/FA2	User:Silence/FA2	other	first paragraph	0	0
User:Efriden	User:Efriden	other	first paragraph	0	197
Wikipedia:Featured_article_review/archive/to_June_8_2006	Wikipedia:Featured article review/archive/to June 8 2006	other	first paragraph	0	0
Wikipedia:Unreviewed_featured_articles	Wikipedia:Unreviewed featured articles	other	original few or no citations list	29	3496
User:Ayatollah_Gurkhmeini	User:Ayatollah Gurkhmeini	other	first paragraph	0	296
User:Freshgavin/Sandbox/Featured_articles	User:Freshgavin/Sandbox/Featured articles	other	music	40	0
Wikipedia:Articles_for_deletion/Log/2006_June_12	Wikipedia:Articles for deletion/Log/2006 June 12	other	first paragraph	0	0
Wikipedia:Articles_for_deletion/If_I_Were_A_Bell	Wikipedia:Articles for deletion/If I Were A Bell	other	first paragraph	0	0
Portal:North_America/Featured_articles	Portal:North America/Featured articles	other	first paragraph	0	0
Talk:Heavy_metal_music/Archive_1	Talk:Heavy metal music/Archive 1	other	this article is fubar	259	0
File:Miles_Davis_-_Agharta.jpg	File:Miles Davis - Agharta.jpg	other	first paragraph	0	103
File:Miles_in_berlin.jpg	File:Miles in berlin.jpg	other	first paragraph	0	62
User:Claire_van_der_Meer	User:Claire van der Meer	other	music	5	47
Talk:Gerry_Mulligan	Talk:Gerry Mulligan	other	weird syntax	17	130
User:Maurreen/Biographies	User:Maurreen/Biographies	other	featured biographies	81	0
Talk:Bryan_Berg	Talk:Bryan Berg	other	promotional tone	5	35
Wikipedia:Core_culture_and_society_topics	Wikipedia:Core culture and society topics	other	first paragraph	0	1023
Talk:Rat_City_Rollergirls	Talk:Rat City Rollergirls	other	proposed deletion of article	8	68
User:CALR/FAs_I%27ve_read	User:CALR/FAs I've read	other	first paragraph	0	0
Wikipedia:Version_0.5_FA_Review	Wikipedia:Version 0.5 FA Review	other	music	14	318
User:Phaedriel/Soundtrack_of_Wikipedians	User:Phaedriel/Soundtrack of Wikipedians	other	first paragraph	0	0
File:DavisPangaea.jpg	File:DavisPangaea.jpg	other	first paragraph	0	80
Wikipedia:Featured_article_candidates/Elliott_Smith	Wikipedia:Featured article candidates/Elliott Smith	other	first paragraph	0	0
File:MilesDavisAura.jpg	File:MilesDavisAura.jpg	other	first paragraph	0	80
File:WeWantMiles.jpg	File:WeWantMiles.jpg	other	first paragraph	0	54
User:AquinasProtocol	User:AquinasProtocol	other	my userbox farm	5	213
Wikipedia:WikiProject_Biography/Core_biographies/Archive_1	Wikipedia:WikiProject Biography/Core biographies/Archive 1	other	first paragraph	0	0
Talk:Bill_Connors	Talk:Bill Connors	other	bill connors speaks others speak on bill	8	108
User:Dinosaur_puppy/Albums	User:Dinosaur puppy/Albums	other	albums i want	1	0
Wikipedia:Featured_article_candidates/Featured_log/August_2006	Wikipedia:Featured article candidates/Featured log/August 2006	other	first paragraph	0	0
File:Thecellardoorsessions.jpg	File:Thecellardoorsessions.jpg	other	first paragraph	0	78
File:Miles_Davis-At_Fillmore-cbs.jpg	File:Miles Davis-At Fillmore-cbs.jpg	other	first paragraph	0	62
Talk:%27Round_Midnight_(song)	Talk:'Round Midnight (song)	other	performances	17	63
Talk:List_of_deaths_in_rock_and_roll	Talk:List of deaths in rock and roll	other	genre	54	654
User:Feature_Historian	User:Feature Historian	other	first paragraph	0	1662
User:William_Clements	User:William Clements	other	first paragraph	0	28
Talk:Neurofunk	Talk:Neurofunk	other	defining the difference	44	264
User:Tvccs	User:Tvccs	other	article contributions  original creation partial list	23	359
User:Bobby_burns24	User:Bobby burns24	other	first paragraph	0	284
Wikipedia:Featured_article_review/Miles_Davis/archive1	Wikipedia:Featured article review/Miles Davis/archive1	other	first paragraph	0	0
User:JCIACHNE	User:JCIACHNE	other	first paragraph	0	133
User:BozMo/wpcd2	User:BozMo/wpcd2	other	big list	8	0
User:JimHxn/Favorites	User:JimHxn/Favorites	other	music	3	0
Wikipedia:Wikipedia_Signpost/2006-10-23/Features_and_admins	Wikipedia:Wikipedia Signpost/2006-10-23/Features and admins	other	features and admins	10	0
User:Jonlin	User:Jonlin	other	notable music	10	113
User:Dominic/YouTube_links	User:Dominic/YouTube links	other	first paragraph	0	0
Wikipedia:Version_0.5/biglist	Wikipedia:Version 0.5/biglist	other	first paragraph	0	0
User:Sixthsense1	User:Sixthsense1	other	historical references to drugs	27	70
Talk:Minton%27s_Playhouse	Talk:Minton's Playhouse	other	kerouac	8	57
Talk:Prince_of_Darkness	Talk:Prince of Darkness	other	people	15	52
Wikipedia:Version_0.5/biglist2	Wikipedia:Version 0.5/biglist2	other	first paragraph	0	0
Wikipedia:Version_0.5/degraded_article_log	Wikipedia:Version 0.5/degraded article log	other	first paragraph	0	0
File:Miles_Davis-Filles_de_Kilimanjaro_(album_cover).jpg	File:Miles Davis-Filles de Kilimanjaro (album cover).jpg	other	first paragraph	0	143
Talk:Sketches_of_Japan	Talk:Sketches of Japan	other	album cover  color scheme choice	7	0
Talk:African_Americans/summary	Talk:African Americans/summary	other	malik shabazz  therock40756 editwar discussion	52	0
Wikipedia:Administrators%27_noticeboard/Archive63	Wikipedia:Administrators' noticeboard/Archive63	other	marking our sources	49	0
User:Kjefferson	User:Kjefferson	other	this and that	14	146
Wikipedia:Featured_article_review/archive/October_2006	Wikipedia:Featured article review/archive/October 2006	other	first paragraph	0	0
Wikipedia:Reference_desk/Archives/Humanities/2006_December_5	Wikipedia:Reference desk/Archives/Humanities/2006 December 5	other	musical modes	91	0
User:MarshalOctopus/Joke	User:MarshalOctopus/Joke	other	basic variations	40	0
User:Danaimband/Opinions	User:Danaimband/Opinions	other	personal favorites	18	0
User:Sanbeiji	User:Sanbeiji	other	first paragraph	0	84
Talk:Jim_Goad	Talk:Jim Goad	other	blockquotes by strausbaugh goad cho	40	74
Wikipedia:Wikipedia_Signpost/2006-10-23/SPV	Wikipedia:Wikipedia Signpost/2006-10-23/SPV	other	features and admins	60	0
User:DISEman	User:DISEman	other	first paragraph	0	1803
Talk:Peter_Cusack_(musician)	Talk:Peter Cusack (musician)	other	untitled	4	25
User:Evil_Trash	User:Evil Trash	other	first paragraph	0	119
User:Thaddeus_Slamp	User:Thaddeus Slamp	other	first paragraph	0	279
Talk:Super_Mario_64/Archive_1	Talk:Super Mario 64/Archive 1	other	pov statment	74	0
User:Rain-lola	User:Rain-lola	other	make art not war	2	22
User:Bellagio99	User:Bellagio99	other	first paragraph	0	635
Talk:The_Smashing_Pumpkins/Archive_1	Talk:The Smashing Pumpkins/Archive 1	other	first paragraph	0	0
User:Rothorpe	User:Rothorpe	other	first paragraph	0	3213
Wikipedia:Version_0.5/Alphabetical	Wikipedia:Version 0.5/Alphabetical	other	m	30	0
User:SmokeyTheCat	User:SmokeyTheCat	other	first paragraph	0	561
User:Peterdjones	User:Peterdjones	other	about me	6	341
User:Silas619	User:Silas619	other	interests	8	117
User:Frijole/Userboxes	User:Frijole/Userboxes	other	first paragraph	0	0
Portal:Music/Music_news/March_2007	Portal:Music/Music news/March 2007	other	first paragraph	0	0
Wikipedia:Featured_article_candidates/Miles_Davis	Wikipedia:Featured article candidates/Miles Davis	other	first paragraph	0	0
Wikipedia:Featured_article_review/Miles_Davis	Wikipedia:Featured article review/Miles Davis	other	first paragraph	0	0
User:G.AC	User:G.AC	other	first paragraph	0	45
User:PhilChristensen	User:PhilChristensen	other	the musician	1	33
User:Ironbrother~enwiki	User:Ironbrother~enwiki	other	first paragraph	0	96
Portal:Jazz	Portal:Jazz	other	first paragraph	0	6555
Portal:Jazz/Did_you_know/Archive	Portal:Jazz/Did you know/Archive	other	2007	54	0
User:Rajah/persondata4	User:Rajah/persondata4	other	first paragraph	0	0
User:Dragon909	User:Dragon909	other	interests	12	94
User:Goldenglove/UBX	User:Goldenglove/UBX	other	first paragraph	0	0
File:Amandla_(album).jpg	File:Amandla (album).jpg	other	first paragraph	0	69
User:Fredrikbobr	User:Fredrikbobr	other	wilhelms style of playing	13	39
User:Dsp13/Top_WorldCat_IDs/501-750	User:Dsp13/Top WorldCat IDs/501-750	other	first paragraph	0	0
User:VeblenBot/Version_0.7/Arts	User:VeblenBot/Version 0.7/Arts	other	unassessed importance	16	0
User:VeblenBot/Version_0.7/Start-Class_Version_0.7_articles	User:VeblenBot/Version 0.7/Start-Class Version 0.7 articles	other	unassessed importance	13	0
Portal:Music/DateOfBirth/May_26	Portal:Music/DateOfBirth/May 26	other	first paragraph	0	0
User:Catastrophei90	User:Catastrophei90	other	first paragraph	0	5
User:Iph	User:Iph	other	first paragraph	0	726
User:Eganio	User:Eganio	other	me	3	164
User:Mind_meal	User:Mind meal	other	first paragraph	0	300
User:Henkje123	User:Henkje123	other	first paragraph	0	64
User:Grimey109	User:Grimey109	other	first paragraph	0	151
Talk:Christopher_Hitchens/Archive_4	Talk:Christopher Hitchens/Archive 4	other	leftleaning thinkers and the euston manifesto	104	0
Talk:Matt_Sanchez/Archive_3	Talk:Matt Sanchez/Archive 3	other	dates	127	0
User:%D7%9C%D7%99%D7%90%D7%95%D7%A8/Blues_on_Parade	User:ליאור/Blues on Parade	other	first paragraph	0	0
User:Stratman	User:Stratman	other	first paragraph	0	125
User:DGsynthi	User:DGsynthi	other	first paragraph	0	84
Talk:Bill_Barber_(musician)	Talk:Bill Barber (musician)	other	first paragraph	0	43
User:Raul654/workbench/FA.2095829	User:Raul654/workbench/FA.2095829	other	first paragraph	0	0
User:Raul654/workbench/FA.2259166	User:Raul654/workbench/FA.2259166	other	first paragraph	0	0
User:Raul654/workbench/FA.2588891	User:Raul654/workbench/FA.2588891	other	first paragraph	0	0
User:Raul654/workbench/FA.3012093	User:Raul654/workbench/FA.3012093	other	first paragraph	0	0
User:Raul654/workbench/FA.3400143	User:Raul654/workbench/FA.3400143	other	first paragraph	0	0
User:Raul654/workbench/FA.3816321	User:Raul654/workbench/FA.3816321	other	first paragraph	0	0
User:Raul654/workbench/FA.4380172	User:Raul654/workbench/FA.4380172	other	first paragraph	0	0
User:Raul654/workbench/FA.4942611	User:Raul654/workbench/FA.4942611	other	first paragraph	0	0
Portal:Jazz/Jazz_news/Archive	Portal:Jazz/Jazz news/Archive	other	first paragraph	0	0
User:Raul654/workbench/FA.19991164	User:Raul654/workbench/FA.19991164	other	first paragraph	0	0
User:Raul654/workbench/FA.22182086	User:Raul654/workbench/FA.22182086	other	first paragraph	0	0
User:Raul654/workbench/FA.13057132	User:Raul654/workbench/FA.13057132	other	first paragraph	0	0
User:Raul654/workbench/FA.14519335	User:Raul654/workbench/FA.14519335	other	first paragraph	0	0
User:Raul654/workbench/FA.5602513	User:Raul654/workbench/FA.5602513	other	first paragraph	0	0
Wikipedia:Recent_additions_151	Wikipedia:Recent additions 151	other	did you know	4	256
Talk:Magic_City_Jazz_Orchestra	Talk:Magic City Jazz Orchestra	other	liner notes from the lous blues cd by bob belden	14	42
User:Kingbotk/Logs/210707_20th_century_deaths_2_1	User:Kingbotk/Logs/210707 20th century deaths 2 1	other	first paragraph	0	0
