Page id	Year
0	1994
1	null
4	null
7	1980
8	2005
9	1971
10	null
11	null
12	null
13	null
14	null
15	null
16	1940
17	1940
18	1945
19	1947
20	1949
21	1950
22	1950
23	1950
24	1950
25	1951
26	1955
27	1955
28	1956
29	1956
30	1957
31	1957
32	null
33	1958
35	1959
36	1959
37	1959
38	1959
39	1960
40	1960
41	1960
43	1961
44	1961
45	1962
46	1963
47	1963
48	1964
49	1965
50	1966
51	1967
52	1967
53	1968
54	1968
55	1969
56	1969
58	1970
59	1970
60	1970
61	1970
62	1971
63	1972
64	1972
65	1973
66	1974
67	1974
68	1975
69	1976
70	1977
71	1980
72	1981
73	1983
74	1984
75	1985
76	1986
77	null
78	1990
79	1991
80	null
81	1991
82	1991
83	1991
84	1995
85	2010
87	1999
88	2003
89	2010
90	2005
91	1983
92	1964
93	1987
94	1957
95	1990
96	null
97	1993
98	1994
99	1997
100	1961
101	1999
102	2001
103	2004
104	2009
106	null
107	2008
108	null
109	null
112	1990
113	2004
114	null
115	1986
116	null
118	1957
122	1991
123	1982
125	2008
127	1958
128	1942
129	null
131	1994
133	null
134	null
135	null
136	1980
137	1985
139	null
140	null
144	null
145	null
146	null
148	1970
150	null
153	1948
154	null
155	null
156	1991
157	1975
158	1950
159	null
160	1977
161	null
162	null
163	null
164	null
165	null
166	null
168	null
169	null
170	null
171	null
172	null
173	1986
174	null
175	null
176	null
177	null
178	null
179	null
182	2004
185	1957
186	1954
187	null
188	null
189	null
192	null
193	null
194	1975
195	null
196	null
197	1985
199	null
200	1978
201	null
202	2005
207	null
209	null
210	null
211	null
212	null
213	1988
215	null
216	1969
217	null
218	null
220	null
221	null
222	null
223	null
224	null
225	null
227	1995
228	null
229	null
230	null
231	null
232	null
233	1999
234	null
235	1959
236	1957
237	null
238	null
239	null
241	null
242	1985
243	null
244	null
246	1976
249	null
250	null
251	null
252	1971
253	1992
256	1992
257	null
258	2006
259	null
261	null
262	null
263	1976
264	1945
265	null
266	null
267	null
268	null
269	null
270	1955
271	null
272	1986
273	null
274	1989
275	null
277	1954
280	null
281	null
282	null
285	1970
286	1995
287	null
289	1948
290	null
291	null
292	null
293	null
294	null
295	null
296	null
297	null
299	null
300	null
301	1990
302	null
304	null
305	1960
306	2008
308	1993
310	null
311	1969
313	null
315	1958
316	null
317	null
318	1963
319	null
322	null
323	null
324	null
325	null
326	1967
327	1963
328	null
329	null
330	null
331	null
333	null
334	null
335	1973
336	null
337	null
339	1971
341	null
342	null
344	1974
346	null
347	null
348	null
349	null
350	null
357	null
359	null
360	null
361	null
362	null
363	null
364	1945
367	null
368	null
369	null
370	null
371	null
372	null
373	null
374	null
375	1990
376	1947
377	1957
378	null
379	1949
386	null
388	1949
389	2014
392	null
394	null
396	null
402	null
403	null
406	null
407	null
408	1991
410	1958
411	1978
412	1971
413	1965
414	1979
415	null
416	null
417	null
419	null
420	null
421	null
422	null
423	null
424	null
425	null
426	1999
427	1980
428	null
429	null
431	null
432	null
433	null
434	null
435	1963
436	1980
441	1960
442	1958
444	2004
445	1968
447	null
448	1968
450	null
451	null
452	null
454	1984
455	2010
456	null
457	null
459	null
460	null
461	2004
462	null
463	null
464	null
465	null
466	1969
467	2010
468	1995
469	null
472	null
473	null
474	null
475	null
477	1994
478	1999
479	null
480	null
481	null
482	null
483	null
485	1993
486	2003
487	null
488	null
490	1955
491	null
492	null
494	null
495	null
496	2007
497	1968
498	1985
499	null
500	null
501	1959
502	1960
503	1942
505	null
506	null
507	null
508	null
509	null
510	null
511	null
512	1971
513	null
519	null
520	1949
521	null
523	1984
524	null
525	1976
526	1991
528	null
531	null
532	null
533	null
534	null
535	null
537	null
538	null
539	null
540	null
541	1940
542	1956
543	1956
544	1993
546	null
547	2014
548	1959
549	null
550	1959
551	1959
552	2009
553	1978
558	null
560	null
561	null
562	null
563	2009
564	null
565	null
566	null
567	null
568	null
569	null
570	null
571	null
572	null
573	null
574	null
575	null
576	null
577	null
578	null
579	null
583	1988
584	null
585	null
586	null
587	null
588	null
589	null
590	null
591	null
592	1947
593	null
594	1967
595	null
596	null
597	2004
599	null
601	null
612	null
613	null
614	1996
616	null
617	2004
618	1992
619	null
620	null
622	1988
623	1948
624	1951
625	null
626	1999
630	null
631	null
632	null
633	1958
634	1960
636	null
637	null
639	null
642	1960
643	1967
645	null
646	null
647	1965
649	1980
650	null
655	1959
657	null
658	2003
659	2007
660	null
661	null
662	1985
663	1993
664	null
665	null
666	null
667	null
668	1980
670	1997
671	null
673	null
674	null
675	null
677	null
678	null
679	1974
681	null
682	null
683	2014
684	null
685	null
686	null
687	null
688	null
689	null
690	null
691	null
693	null
694	null
695	null
696	null
698	null
699	null
700	null
701	null
702	null
703	null
704	null
705	null
706	null
707	null
708	2003
709	2010
711	null
712	1970
714	null
715	null
716	1952
719	null
722	null
723	1998
724	null
727	2011
728	null
729	null
730	null
731	null
732	null
733	null
734	null
735	1990
736	1990
738	null
739	null
740	null
742	1946
743	null
755	null
756	null
757	1956
759	1996
760	1995
762	null
763	null
764	null
765	null
766	null
767	null
768	null
769	null
770	null
771	null
772	null
773	null
774	null
775	1947
776	1972
778	null
779	null
780	1998
781	null
782	null
783	1987
784	null
785	null
786	null
788	1950
789	null
790	1964
791	null
797	1975
798	1988
799	1970
800	null
801	null
802	2006
803	null
804	1990
805	null
806	null
807	null
809	null
811	null
812	1975
813	null
814	null
816	null
817	null
818	1969
819	2001
820	1966
822	null
823	null
824	null
825	null
826	1996
827	null
829	null
830	null
831	null
832	null
833	null
834	null
835	null
836	null
837	null
838	null
839	null
840	1960
841	null
842	null
843	null
844	1985
845	null
846	1970
847	null
852	null
853	1950
854	null
856	null
857	null
858	null
859	2009
860	1978
862	null
865	1994
866	null
868	1993
869	2011
870	1975
871	1996
873	null
874	null
875	2004
876	null
877	null
878	null
879	null
881	null
882	null
883	null
884	null
886	1984
887	1971
889	1960
890	1986
891	1949
894	null
898	1961
899	1971
900	1982
901	1986
902	1993
903	1977
904	1960
905	1974
906	1946
907	1956
909	null
911	1990
912	null
913	null
915	2008
916	null
917	null
918	null
980	null
982	1972
983	1968
984	null
985	2000
986	1995
988	1997
990	1979
991	null
993	null
994	null
997	null
998	2006
999	1997
1002	2010
1003	null
1004	1992
1005	null
1008	null
1009	null
1011	1957
1012	null
1013	2006
1018	null
1019	null
