Page Id	URL	Name	Subject	Section Header	Section Index	PageViews		Name Override	Subject Re-mapping	Section Re-mapping	Omit	miles_work
page-8	1001_Albums_You_Must_Hear_Before_You_Die	1001 Albums You Must Hear Before You Die	works	artists	13	122784			books			
page-96	33%E2%85%93	33⅓	works	published titles	5	25846			books			
page-1769	Lydian_Chromatic_Concept_of_Tonal_Organization	Lydian Chromatic Concept of Tonal Organization	works	influence	15	12090			books			
page-1769	Lydian_Chromatic_Concept_of_Tonal_Organization	Lydian Chromatic Concept of Tonal Organization	works	influence	15	12090			books			
page-915	Fela!	Fela!	works	plot	25	10120			books			
page-659	Cultural_Amnesia_(book)	Cultural Amnesia (book)	works	contents	4	4625			books			
page-1767	Lunch_Poems	Lunch Poems	works	first paragraph	0	4236			books			
page-341	Bibliography_of_jazz	Bibliography of jazz	works	biographical	19	2613			books			
page-79	1991	1991	other	deaths	130	93302			events			
page-79	1991	1991	other	deaths	130	93302			events			
page-79	1991	1991	other	deaths	131	93302			events			
page-3042	Timeline_of_musical_events	Timeline of musical events	works	1920s	36	57518			events			
page-3042	Timeline_of_musical_events	Timeline of musical events	works	1950s	29	57518			events			
page-3042	Timeline_of_musical_events	Timeline of musical events	works	1990s	15	57518			events			
page-3119	United_States_in_the_1950s	United States in the 1950s	places	society in the us	71	42322			events			
page-3119	United_States_in_the_1950s	United States in the 1950s	places	society in the us	71	42322			events			
page-35	1959	1959	other	events	19	37986			events			
page-35	1959	1959	other	events	22	37986			events			
page-35	1959	1959	other	events	34	37986			events			
page-11	1926	1926	other	births	70	26911			events			
page-39	1960_in_music	1960 in music	places	albums released	10	19306			events			
page-37	1959_in_music	1959 in music	works	albums released in alphabetical order	8	11240			events			
page-37	1959_in_music	1959 in music	works	events	6	11240			events			
page-38	1959_in_the_United_States	1959 in the United States	places	events	20	9997			events			
page-83	1991_in_the_United_States	1991 in the United States	places	first paragraph	0	8854			events			
page-14	1926_in_the_United_States	1926 in the United States	places	births	27	7115			events			
page-3039	Timeline_of_music_in_the_United_States_(1920%E2%80%9349)	Timeline of music in the United States (1920–49)	places	1949	72	6407			events			
page-1126	Grammy_Award_for_Best_Large_Jazz_Ensemble_Album	Grammy Award for Best Large Jazz Ensemble Album	works	1970s	32	5339			events			
page-714	Deaths_in_July_2005	Deaths in July 2005	people	7/1/2005	8	3755			events			
page-3040	Timeline_of_music_in_the_United_States_(1950%E2%80%9369)	Timeline of music in the United States (1950–69)	places	1954	14	3375			events			
page-3040	Timeline_of_music_in_the_United_States_(1950%E2%80%9369)	Timeline of music in the United States (1950–69)	places	1957	21	3375			events			
page-3040	Timeline_of_music_in_the_United_States_(1950%E2%80%9369)	Timeline of music in the United States (1950–69)	places	1958	23	3375			events			
page-3040	Timeline_of_music_in_the_United_States_(1950%E2%80%9369)	Timeline of music in the United States (1950–69)	places	1959	26	3375			events			
page-3040	Timeline_of_music_in_the_United_States_(1950%E2%80%9369)	Timeline of music in the United States (1950–69)	places	1969	49	3375			events			
page-715	Deaths_in_June_2007	Deaths in June 2007	people	6/1/2007	38	2856			events			
page-3041	Timeline_of_music_in_the_United_States_(1970%E2%80%93present)	Timeline of music in the United States (1970–present)	places	1970	4	2268			events			
page-1207	History_of_music_in_Paris	History of music in Paris	other	postwar paris 19462000	264	1380			events			
page-32	1958_(disambiguation)	1958 (disambiguation)	other	first paragraph	0	209			events			
page-2452	Scrooged	Scrooged	works	cast	19	188367			films			
page-112	A_Bronx_Tale	A Bronx Tale	works	production	20	163287			films			
page-865	English,_August_(film)	English, August (film)	works	plot summary	9	8156			films			
page-3775	Waltz_for_Monica	Waltz for Monica	works	cast	9	2662			films			
page-655	Cry_of_Jazz	Cry of Jazz	works	jazz in 1959	34	1949			films			
page-655	Cry_of_Jazz	Cry of Jazz	works	jazz in 1959	34	1949			films			
page-116	A_Different_Kind_of_Blue	A Different Kind of Blue	works	first paragraph	0	1455			films			
page-116	A_Different_Kind_of_Blue	A Different Kind of Blue	works	first paragraph	0	1455			films			
page-2327	Real_Gone_Cat	Real Gone Cat	works	trivia	13	390			films			
page-1893	Miles_Ahead_(film)	Miles Ahead (film)	works	cast	6	67799			films			
page-1893	Miles_Ahead_(film)	Miles Ahead (film)	works	first paragraph	0	67799			films			
page-2547	Sorcerer_(film)	Sorcerer (film)	works	music	85	65013			films			
page-2547	Sorcerer_(film)	Sorcerer (film)	works	title and themes	29	65013			films			
page-2567	Spin_(magazine)	Spin (magazine)	works	history	7	39615			films			
page-1763	Low_Down	Low Down	works	plot summary	8	35520			films			
page-2617	Street_Smart_(film)	Street Smart (film)	works	background and reviews	12	29337			films			
page-2990	The_Uninvited_(1944_film)	The Uninvited (1944 film)	works	music	23	27169			films			
page-2489	Siesta_(film)	Siesta (film)	works	first paragraph	0	9106			films			
page-2489	Siesta_(film)	Siesta (film)	works	production	9	9106			films			
page-749	Dingo_(film)	Dingo (film)	works	first paragraph	0	7954			films			
page-749	Dingo_(film)	Dingo (film)	works	first paragraph	0	7954			films			
page-749	Dingo_(film)	Dingo (film)	works	first paragraph	0	7954			films			
page-1498	Kala_Pul	Kala Pul	works	music	13	840			films			
page-1372	Jazz_standard	Jazz standard	genres	1950s and later	27	52903			genres			
page-1977	Music_of_Belgium	Music of Belgium	other	jazz with the blues	18	21679			genres			
page-1981	Music_of_Denver	Music of Denver	other	history	8	0			genres			
page-179	Alfred_%22Pee_Wee%22_Ellis	Alfred "Pee Wee" Ellis	other	biography	12	10848			musicians			
page-694	David_Gamson	David Gamson	other	first paragraph	0	4016			musicians			
page-210	Andy_%22Stoker%22_Growcott	Andy "Stoker" Growcott	other	first paragraph	0	2499			musicians			
page-2155	Paul_Tingen	Paul Tingen	other	first paragraph	0	999			musicians			
page-571	Chris_Steinmetz	Chris Steinmetz	people	partial discography	15	930			musicians			
page-1025	Frank_R._Fisher	Frank R. Fisher	other	career	4	813			musicians			
page-918	Feu!_Chatterton	Feu! Chatterton	other	influences	5	295			musicians			
page-884	Eugene_Haynes	Eugene Haynes	other	first paragraph	0	132			musicians			
page-884	Eugene_Haynes	Eugene Haynes	other	on karen blixen	19	132			musicians			
page-346	Bihari_Sharma	Bihari Sharma	other	first paragraph	0	97			musicians			
page-1170	Harvey_Brooks_(bassist)	Harvey Brooks (bassist)	other	bluesrock and jazz fusion era	11	0			musicians			
page-510	Carolina_Calvache	Carolina Calvache	other	career	2	0			musicians			
page-1027	Frank_Russell_(bassist)	Frank Russell (bassist)	other	career	8	0			musicians			
page-1170	Harvey_Brooks_(bassist)	Harvey Brooks (bassist)	other	first paragraph	0	0			musicians			
page-578	Cigarettes_After_Sex	Cigarettes After Sex	other	musical style and influences	17	0			musicians			
page-1582	Leon_%22Ndugu%22_Chancler	Leon "Ndugu" Chancler	other	discography	10	8946			musicians			
page-1582	Leon_%22Ndugu%22_Chancler	Leon "Ndugu" Chancler	other	discography	11	8946			musicians			
page-1582	Leon_%22Ndugu%22_Chancler	Leon "Ndugu" Chancler	other	first paragraph	0	8946			musicians			
page-1409	Jimmy_Owens_(musician)	Jimmy Owens (musician)	musicians	1950s and 1960s	8	3307			musicians			
page-1326	James_%22Tootie%22_Hogan	James "Tootie" Hogan	other	first paragraph	0	631			musicians			
page-1525	Khalil_Balakrishna	Khalil Balakrishna	other	first paragraph	0	302			musicians			
page-1404	Jimmy_%22Jammin%27%22_Smith	Jimmy "Jammin'" Smith	other	first paragraph	0	147			musicians			
page-1558	Larry_Vuckovich	Larry Vuckovich	other	biography	3	0			musicians			
page-1765	Luca_Aquino	Luca Aquino	other	life and career	6	0			musicians			
page-984	Film_noir	Film noir	genres	outside the united states	48	418177			other			
page-1764	LP_record	LP record	events	playing time	48	377640			other			
page-306	Beats_Electronics	Beats Electronics	events	history	17	375099			other			
page-2858	The_Cosby_Show	The Cosby Show	works	background and production	31	355978			other			
page-1858	Miami_Vice	Miami Vice	works	cast	72	304078			other			
page-1858	Miami_Vice	Miami Vice	works	production	24	304078			other			
page-1676	List_of_Rock_and_Roll_Hall_of_Fame_inductees	List of Rock and Roll Hall of Fame inductees	works	inductees	10	294246			other			
page-1132	Gramophone_record	Gramophone record	events	new sizes and materials	81	288210			other			
page-1688	List_of_stars_on_the_Hollywood_Walk_of_Fame	List of stars on the Hollywood Walk of Fame	other	d	9	260087			other			
page-781	Double_bass	Double bass	genres	double bassists	204	250660			other			
page-781	Double_bass	Double bass	genres	use in jazz	161	250660			other			
page-1942	Mod_(subculture)	Mod (subculture)	genres	characteristics	54	240728			other			
page-612	Columbia_Records	Columbia Records	musicians	history	49	235763			other			
page-3097	Trumpet	Trumpet	genres	players	78	198326			other			
page-3097	Trumpet	Trumpet	genres	trumpets in art	89	198326			other			
page-305	Beatnik	Beatnik	genres	beat culture	32	189433			other			
page-503	Capitol_Records	Capitol Records	musicians	history	25	178236			other			
page-1551	Lamborghini_Miura	Lamborghini Miura	events	production history	25	174841			other			
page-1624	List_of_deaths_in_rock_and_roll	List of deaths in rock and roll	musicians	1990s	17	173374			other			
page-1932	Minor_scale	Minor scale	genres	harmonic minor scale	34	165471			other			
page-3776	Warner_Bros._Records	Warner Bros. Records	musicians	history	106	160280			other			
page-1042	French_horn	French horn	genres	in jazz	99	140378			other			
page-1042	French_horn	French horn	genres	notable horn players	102	140378			other			
page-2210	Porgy_and_Bess	Porgy and Bess	works	adaptations	135	137173			other			
page-2210	Porgy_and_Bess	Porgy and Bess	works	adaptations	135	137173			other			
page-3100	Tuba	Tuba	genres	jazz	51	134754			other			
page-1005	Flugelhorn	Flugelhorn	genres	famous players	18	119825			other			
page-1989	Music_of_the_United_States	Music of the United States	places	popular music	73	105430			other			
page-1989	Music_of_the_United_States	Music of the United States	places	popular music	73	105430			other			
page-1989	Music_of_the_United_States	Music of the United States	places	popular music	75	105430			other			
page-1659	List_of_organisms_named_after_famous_people	List of organisms named after famous people	other	first paragraph	0	104438			other			
page-1684	List_of_songs_about_New_York_City	List of songs about New York City	works	g	22	95173			other			
page-1684	List_of_songs_about_New_York_City	List of songs about New York City	works	t	48	95173			other			
page-1648	List_of_Juilliard_School_people	List of Juilliard School people	other	notable alumni	19	94188			other			
page-1646	List_of_jazz_musicians	List of jazz musicians	musicians	first paragraph	0	86541			other			
page-1646	List_of_jazz_musicians	List of jazz musicians	musicians	giants of jazz	7	86541			other			
page-1616	List_of_biographical_films	List of biographical films	works	2010s	20	81882			other			
page-2020	Nasty_Gal	Nasty Gal	companies	history	8	74452			other			
page-1980	Music_of_Cuba	Music of Cuba	genres	diversification and popularization	291	69117			other			
page-630	Cool_(aesthetic)	Cool (aesthetic)	genres	regions	47	65676			other			
page-778	Dorian_mode	Dorian mode	genres	notable compositions in dorian mode	38	65349			other			
page-778	Dorian_mode	Dorian mode	genres	notable compositions in dorian mode	38	65349			other			
page-1645	List_of_jazz_genres	List of jazz genres	genres	first paragraph	0	58650			other			
page-302	Bass_clarinet	Bass clarinet	genres	uses	40	58566			other			
page-1629	List_of_foreign_recipients_of_the_L%C3%A9gion_d%27Honneur	List of foreign recipients of the Légion d'Honneur	other	united states	202	54541			other			
page-1607	List_of_1960s_musical_artists	List of 1960s musical artists	events	kn	29	49551			other			
page-1662	List_of_people_from_Illinois	List of people from Illinois	people	d	59	47762			other			
page-1662	List_of_people_from_Illinois	List of people from Illinois	people	d	59	47762			other			
page-1662	List_of_people_from_Illinois	List of people from Illinois	people	d	60	47762			other			
page-1663	List_of_people_from_Michigan	List of people from Michigan	people	musicians and composers	61	46684			other			
page-174	Album_cover	Album cover	works	design	20	44196			other			
page-1770	Lydian_mode	Lydian mode	genres	notable compositions in the lydian mode	26	41118			other			
page-402	Blue_Note_Records	Blue Note Records	musicians	history	15	40354			other			
page-402	Blue_Note_Records	Blue Note Records	musicians	history	19	40354			other			
page-649	Crime_Story_(TV_series)	Crime Story (TV series)	works	cast	46	39336			other			
page-2571	St._Louis_Post-Dispatch	St. Louis Post-Dispatch	companies	history	24	38430			other			
page-2021	National_Recording_Registry	National Recording Registry	places	2002	23	37059			other			
page-2021	National_Recording_Registry	National Recording Registry	places	2002	23	37059			other			
page-1665	List_of_people_from_St._Louis	List of people from St. Louis	people	d	10	34527			other			
page-1683	List_of_songs_about_Los_Angeles	List of songs about Los Angeles	works	songs	14	34210			other			
page-1605	List_of_1930s_jazz_standards	List of 1930s jazz standards	events	1935	24	33860			other			
page-1604	List_of_1920s_jazz_standards	List of 1920s jazz standards	events	19241925	15	33662			other			
page-1604	List_of_1920s_jazz_standards	List of 1920s jazz standards	events	19261927	18	33662			other			
page-318	Ben_Sherman	Ben Sherman	companies	history	6	33281			other			
page-1028	Frank_Sinatra%27s_recorded_legacy	Frank Sinatra's recorded legacy	musicians	genres	16	32963			other			
page-606	Coltrane_changes	Coltrane changes	genres	first paragraph	0	31178			other			
page-1653	List_of_Music_Choice_channels	List of Music Choice channels	other	list of current music choice channels	22	30745			other			
page-1631	List_of_funk_musicians	List of funk musicians	musicians	d	12	30605			other			
page-1685	List_of_songs_about_Paris	List of songs about Paris	works	first paragraph	0	28476			other			
page-1619	List_of_Columbia_Records_artists	List of Columbia Records artists	musicians	d	14	28260			other			
page-1667	List_of_people_in_Playboy_1970%E2%80%9379	List of people in Playboy 1970–79	events	1978	23	28178			other			
page-1647	List_of_jazz_trumpeters	List of jazz trumpeters	musicians	d	9	27972			other			
page-1612	List_of_avant-garde_artists	List of avant-garde artists	people	avant garde jazz composers performance artists	21	27946			other			
page-1986	Music_of_Ohio	Music of Ohio	places	jazz	15	27143			other			
page-906	Farfisa	Farfisa	companies	history	23	27107			other			
page-1689	List_of_Telecaster_players	List of Telecaster players	musicians	qz	16	26779			other			
page-1621	List_of_concept_albums	List of concept albums	works	d	12	25907			other			
page-782	Double_harmonic_scale	Double harmonic scale	genres	first paragraph	0	25848			other			
